,data0,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,target
0,0.952088098,0.308896715,0.166542978,0.339773036,0.34427802,0.284770947,0.473349101,0.752950093,0.664538033,0.480947267,1.352781123,0.44157952,2
0,0.162208516,0.290110975,1.147552761,0.103436532,0.436801318,0.581195005,0.404514577,0.428706192,1.025502246,0.566194714,0.112858501,0.477394939,2
0,0.051800638,0.200563043,0.086433934,0.181363762,0.156796501,0.314699258,0.051747726,0.298899954,0.174286637,0.118885276,0.328878712,0.103068732,2
0,0.09290697,0.303469716,0.319515355,0.32488065,0.294555711,0.276504557,0.101304556,0.022709623,0.018463454,0.018093024,0.026363684,0.051555618,2
0,0.009834209,0.189004857,0.149532449,0.080470657,0.054898774,0.155533036,0.507881973,1.474529887,0.488143723,0.240260273,0.247346012,0.116895238,2
0,0.088066181,0.079833177,0.251228509,0.128321187,0.247939524,0.092626861,0.353636435,0.113086619,0.082055382,0.067670456,0.059430663,0.058513268,2
0,0.312493905,0.36478964,0.327533176,0.320313142,0.849940105,0.416176125,0,0,0,0,0,0,2
0,0.090232297,0.545886758,0.03634513,0.256891687,0.108080153,1.331601942,0.468227985,0.036387511,0.063481193,0.056126765,0.404474536,0.029335914,2
0,0.061618773,0.11300298,0.138063748,0.086641964,0.109638795,0.116081962,0.376550239,0.620611644,0.126001734,0.138762789,0,0.091405288,2
0,1.945344701,0.096536356,1.326010673,0.237275505,3.060848948,0.431529709,0.447172795,0.646690871,0.422501071,0.850512359,1.167589524,2.477187086,2
0,0.38783003,0.2397203,0.099256306,0.228010558,0.565483758,0.135689422,0.093873174,0.196634013,0.327626613,0.156601388,0.157004272,0.138600262,2
0,1.639520887,0.053092577,0.476507253,0.439703345,1.424888904,0.083222201,0.273530709,0.792974752,0.470547852,0,1.237027052,1.183749527,2
0,0.090517764,0.050770299,0.012400548,0.048498824,0.038562792,0.019429685,0,0,0,0,0,0,2
0,0.70870757,0.041385319,0.0857344,0.031202827,0.185504049,0.093786267,0.302781704,0.083874488,0.023166348,0.01036023,0.064979786,0.598789458,2
0,0,0.043689733,0.476267068,0.096226987,2.356474693,0.092795487,0.338294533,0.817142458,1.117307363,0.146234741,0.163430824,0.479351843,2
