,da0_area_max,da0_area_min,da0_slope_max,da0_slope_min,da0_peak_max,da0_peak_min,da1_area_max,da1_area_min,da1_slope_max,da1_slope_min,da1_peak_max,da1_peak_min,da2_area_max,da2_area_min,da2_slope_max,da2_slope_min,da2_peak_max,da2_peak_min,da3_area_max,da3_area_min,da3_slope_max,da3_slope_min,da3_peak_max,da3_peak_min,da4_area_max,da4_area_min,da4_slope_max,da4_slope_min,da4_peak_max,da4_peak_min,da5_area_max,da5_area_min,da5_slope_max,da5_slope_min,da5_peak_max,da5_peak_min,da6_area_max,da6_area_min,da6_slope_max,da6_slope_min,da6_peak_max,da6_peak_min,da7_area_max,da7_area_min,da7_slope_max,da7_slope_min,da7_peak_max,da7_peak_min,da8_area_max,da8_area_min,da8_slope_max,da8_slope_min,da8_peak_max,da8_peak_min,da9_area_max,da9_area_min,da9_slope_max,da9_slope_min,da9_peak_max,da9_peak_min,da10_area_max,da10_area_min,da10_slope_max,da10_slope_min,da10_peak_max,da10_peak_min,da11_area_max,da11_area_min,da11_slope_max,da11_slope_min,da11_peak_max,da11_peak_min,target
10,0.117164452,-0.283952456,0.109065438,-0.057598085,0.531537496,0,0.451162356,-0.281741569,0.095173363,-0.053341472,0.367853691,0,3.018745878,-0.111509599,0.100371235,-0.059232798,0.344596689,-0.146447525,0.596644017,-0.540091784,0.102962086,-0.061703024,0.439266084,0,0.954332881,-0.344871745,0.022035276,-0.009564502,0.12267432,-0.09458621,0.724783367,-0.349114877,0.092996047,-0.053493163,0.30573971,-0.052680091,0.410676756,-0.256180539,0.022520484,-0.037070869,0,-0.215863534,0.554127391,-0.015723157,0.016717183,-0.000651689,0.092678812,-0.042607179,1.105382095,-0.099569614,0.026039854,0,0.133696453,-0.118206043,0.205188576,-0.262155152,0.113084284,-0.090880244,0.446731562,0,0.184798607,-0.065910262,0.103348348,-0.088099417,0.32734894,0,0.158171238,-0.068037392,0.083218033,-0.051011917,0.25138296,0,0
11,0.845279075,-1.224493013,0.024592521,-0.047998873,0.172970966,-0.215569911,0.549367179,-0.474117964,0.045899519,-0.048367817,0.068190489,-0.161293555,0.705822221,-0.610614985,0.057295196,-0.05872691,0.087987298,-0.192818685,0.230699943,-1.738125479,0,-0.040405014,0.034552809,-0.381076834,0.619056072,-1.332096136,0.067242009,-0.070832504,0.132223942,-0.255352253,0.600816106,-0.552288345,0.051467649,-0.053354893,0.07265124,-0.179532697,1.397249874,-0.833830863,0.006782417,-0.037736644,0.197065234,-0.195995529,1.290596394,-3.033000347,0.033220688,-0.039696497,0.285983613,-0.288712127,0.292457702,-0.444627161,0.046532401,-0.066916744,0.094673958,-0.129370671,0.334867815,-1.131997901,0.008984951,-0.032095744,0.042591753,-0.247641175,0.499016163,-2.315396251,0.029064207,-0.036232832,0.07217288,-0.40329664,0.336166416,-1.668652638,0,-0.040854242,0,-0.401164835,0
12,0.174387468,-0.216036512,0.100135749,-0.051592018,0.379586777,0,1.082709845,-0.354142092,0.090722908,-0.065305705,0.35601151,-0.055365062,1.423589965,-0.987469921,0.080719485,-0.086317892,0.203014982,-0.284662468,0.183135287,-0.524267129,0.091184969,-0.06073129,0.291026527,-0.021072952,3.247898993,-0.551302955,0.088968114,-0.008569238,0.575383772,-0.131950025,1.310315299,-0.444520429,0.088570434,-0.068834655,0.320526239,-0.117627308,0.524270815,-1.582867603,0.018546185,-0.027125715,0.328342545,0,0.536002815,-0.768658622,0.03864116,-0.086104592,0.117748705,-0.305241789,0.45817886,-0.259182293,0.015721212,-0.018098519,0.12514908,0,0.720582436,-0.86683591,0.016748873,-0.013940036,0.133528203,-0.096865118,0.213356289,-0.183051096,0.076892138,-0.048281178,0.299233936,0,0.149924699,-0.446736687,0.063930735,-0.049984763,0.220610916,0,0
13,0.304559036,-0.334610344,0.069454958,-0.071655336,0.178400436,-0.04513195,0.934474849,-0.093700152,0.047975821,-0.015309961,0.245256243,-0.020594725,0.767241571,-0.19363199,0.042605396,-0.022477228,0.222940295,-0.01644792,0.509966264,-0.30929937,0.052111624,-0.029739743,0,-0.38380468,0.694223892,-0.740471884,0.022336482,-0.180483517,0.017407255,-0.499827402,0.709461636,-0.308792835,0.047939772,-0.018406792,0.2348359,-0.015886323,0.752725515,-0.316550502,0.014725508,-0.022416603,0.086492299,-0.094706519,0.548116243,-1.028230001,0.01575688,-0.0340324,0.10181431,-0.220937289,0.775526012,-0.352796385,0.040782792,-0.045028196,0.073090225,-0.12470116,1.320323105,-1.419585086,0.096966982,-0.05382125,0.300673158,-0.160531302,1.804842075,-0.582102623,0.037881881,-0.038004571,0.303875172,-0.101622095,0.848027795,-1.69605559,0.023496961,-0.041372535,0.364929798,-0.049095643,0
14,0.633306921,-0.126256199,0.032978973,-0.003638253,0.045444212,-0.127779646,0.505642348,-0.068154927,0.025373887,-0.004909606,0.073666614,-0.068911379,1.647782219,-1.404787127,0.110504744,-0.069546853,0.522794081,-0.028315269,0.360249469,-0.491725082,0.025946562,-0.003014771,0.027593872,-0.131275109,1.240997405,-1.020147436,0.070981938,-0.171751761,0.121076902,-0.391338995,2.198523736,-1.110447353,0.11431617,-0.036920214,0.590664297,-0.034547411,0.766346463,-0.384918034,0.096356363,-0.02426812,0.300747772,0,0.852675033,-0.730263757,0.017788315,-0.165897399,0.080611959,-0.281411372,0.209313147,-0.33544504,0.018141622,0,0.106327025,-0.039328534,0.73856775,-0.086501274,0.025709342,-0.03541428,0,-0.195877615,0.27324653,-0.234497561,0.026063552,-0.012313665,0.079100704,-0.031697001,1.252775806,-0.291042733,0.018278914,-0.015665081,0.164180283,-0.058874068,0
15,0.552511383,-0.794480054,0.069262616,-0.036103149,0.136797665,-0.204974562,0.276291611,-0.241859396,0.022226435,-0.024619061,0.040512579,-0.08815012,2.580644543,-1.539498262,0.033985098,-0.013021719,0.522428963,-0.045043999,0.597247293,-0.227227206,0.068977771,-0.048886375,0.100446844,-0.112944808,0.305726539,-1.254808174,0.056130575,-0.010376929,0.076212989,-0.314123134,0.431309569,-0.234023799,0.006056705,-0.011027542,0.050170029,-0.050021052,0.17489542,-0.230106749,0.026108742,-0.006460168,0.009525905,-0.113942985,0.246900731,-0.341384438,0.016355,-0.060411233,0,-0.259244913,0.190319724,-0.344949828,0.007311881,-0.024664737,0.062801913,-0.059061461,0.167784266,-0.180253708,0.052077253,-0.03114205,0.099869109,-0.017443833,0.170678308,-0.085339154,0.021078943,-0.017522192,0.041623358,-0.021736725,0.163900265,-0.113105764,0.030837067,-0.022487443,0.046098399,-0.034075102,0
16,2.429326803,-0.576686771,0.107681567,-0.092719223,0.368979231,-0.134579439,0.433510651,-0.853568657,0.048618704,-0.089959459,0.357329914,0,0.41454886,-0.691287175,0.018458542,-0.072393582,0.176530411,-0.063768815,0.188176628,-0.839995749,0.075307048,-0.083566166,0.367698637,0,1.133547706,-0.520677495,0.028611705,-0.052221668,0.077456002,-0.244554559,0.63820122,-0.558647994,0.034517432,-0.083151508,0.299424505,0,0.311343877,-0.699028568,0,-0.018664124,0.172529011,-0.00877948,0.957282456,-0.162157547,0.04758502,-0.045561206,0.256566118,-0.060165154,1.114990613,-0.176717707,0.028408488,-0.075504809,0.165055387,-0.069624932,0.810849913,-0.480550084,0.074437819,-0.1075699,0.093153095,-0.136892176,0.450385093,-1.365342594,0.088144536,-0.094767467,0.469378663,0,0.389666732,-0.742573888,0.054401248,-0.091600447,0.314366302,-0.004113794,0
17,1.066906409,-1.458366171,0.02759412,-0.026900472,0.003284427,-0.424253464,1.055465381,-0.142738817,0.076753253,-0.023247682,0.299495811,0,0.886757462,-1.001247729,0.035757114,-0.017371111,0.084592479,-0.234448698,1.846856788,-2.181740801,0.080572554,-0.01872415,0.417205021,-0.153261868,0.082299135,-1.941000023,0.032462888,-0.01672216,0,-0.305896642,0.672206564,-0.981571332,0.046057774,-0.021985363,0.192528705,-0.164701099,0.563090755,-1.642231474,0.026165057,-0.002323152,0.094032968,-0.2398238,1.390085967,-0.768087301,0.028206938,-0.015369692,0,-0.361317297,0.778059369,-1.315743213,0.027333066,-0.01816463,0,-0.381225955,1.609936031,-0.782222063,0.026102648,-0.02228248,0,-0.423474384,2.014619202,-1.045363748,0.074626295,-0.047496485,0.348066101,-0.11287928,1.008692568,-1.596090604,0.03500788,-0.015407039,0.160385574,-0.281461247,0
18,0.08997461,-0.279302883,0.013553706,-0.046682808,0.034498173,-0.136392419,0.755672674,-0.488998127,0.031251871,-0.06224066,0.10482538,-0.291414727,0.895601977,-0.518375638,0.036841971,-0.013153196,0.03484761,-0.241626426,0.057050717,-0.345786789,0.005343593,-0.050553693,0.058568575,-0.214539839,0.013377394,-0.596781575,0.04871645,-0.025467367,0.065541004,-0.126756324,0.464614855,-0.31582097,0.027574216,-0.012710604,0.015573972,-0.154619281,0.313443943,-0.572448137,0.030734631,-0.024170514,0.07361621,-0.096383101,0.178545412,-0.42432374,0.08627155,-0.043007958,0.18530663,-0.01841292,0.491720914,-0.261354475,0.021824823,-0.022158655,0.094242308,-0.092469455,0.39853013,-0.451395934,0.021853037,-0.030464097,0.138271489,-0.117996898,0.219614161,-0.38614809,0,-0.033376218,0.147904864,-0.086932945,0.228158997,-0.225193348,0.085173315,-0.058974971,0.166965025,-0.126212885,0
19,0.27847941,-0.327196283,0.12569722,-0.021735689,0.124920474,-0.127583543,1.709396852,-0.481551691,0.165297791,-0.129501519,0.309752862,-0.211703441,0.619475062,-1.351341235,0.089877455,-0.129632278,0.251244782,-0.224549473,0.596563928,-0.870349094,0.064299192,0,0.179947848,-0.341671813,1.359474442,-0.455840269,0.058908063,-0.027098719,0.167547979,-0.113773912,1.503211917,-0.706141206,0.041944318,0,0.310681367,-0.190354808,0.820739102,-3.005993259,0.088446252,-0.065407394,0.273814229,-0.405619407,0.865160304,-0.631880097,0.04184656,-0.068631416,0,-0.386004716,0.315390004,-0.566739442,0.059830294,-0.073749832,0.15452954,-0.068718475,0.501555332,-1.052546267,0.014674472,-0.031572195,0.086484816,-0.158128259,0.308778979,-0.694477462,0.15834134,-0.13034568,0.394271768,0,1.734655586,-0.084276953,0.027897481,-0.002219873,0.302746793,-0.054746935,0
